,Full Name,First Name,Last Name,First Name Initial with Full Last Name
0,Alaa Abdelnaby,Alaa,Abdelnaby,A. Abdelnaby
1,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,Z. Abdul-Aziz
2,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,K. Abdul-Jabbar
3,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,M. Abdul-Rauf
4,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,T. Abdul-Wahad
5,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,S. Abdur-Rahim
6,Tom Abernethy,Tom,Abernethy,T. Abernethy
7,Forest Able,Forest,Able,F. Able
8,John Abramovic,John,Abramovic,J. Abramovic
9,Alex Abrines,Alex,Abrines,A. Abrines
10,Precious Achiuwa,Precious,Achiuwa,P. Achiuwa
11,Alex Acker,Alex,Acker,A. Acker
12,Donald Ackerman,Donald,Ackerman,D. Ackerman
13,Mark Acres,Mark,Acres,M. Acres
14,Charles Acton,Charles,Acton,C. Acton
15,Quincy Acy,Quincy,Acy,Q. Acy
16,Alvan Adams,Alvan,Adams,A. Adams
17,Don Adams,Don,Adams,D. Adams
18,Hassan Adams,Hassan,Adams,H. Adams
19,Jaylen Adams,Jaylen,Adams,J. Adams
20,Jordan Adams,Jordan,Adams,J. Adams
21,Michael Adams,Michael,Adams,M. Adams
22,Steven Adams,Steven,Adams,S. Adams
23,Rafael Addison,Rafael,Addison,R. Addison
24,Bam Adebayo,Bam,Adebayo,B. Adebayo
25,Deng Adel,Deng,Adel,D. Adel
26,Rick Adelman,Rick,Adelman,R. Adelman
27,Jeff Adrien,Jeff,Adrien,J. Adrien
28,Arron Afflalo,Arron,Afflalo,A. Afflalo
29,Ochai Agbaji,Ochai,Agbaji,O. Agbaji
30,Maurice Ager,Maurice,Ager,M. Ager
31,Mark Aguirre,Mark,Aguirre,M. Aguirre
32,Blake Ahearn,Blake,Ahearn,B. Ahearn
33,Danny Ainge,Danny,Ainge,D. Ainge
34,Alexis Ajinca,Alexis,Ajinca,A. Ajinca
35,Henry Akin,Henry,Akin,H. Akin
36,Josh Akognon,Josh,Akognon,J. Akognon
37,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,D. Akoon-Purcell
38,Solomon Alabi,Solomon,Alabi,S. Alabi
39,Mark Alarie,Mark,Alarie,M. Alarie
40,Gary Alcorn,Gary,Alcorn,G. Alcorn
41,Santi Aldama,Santi,Aldama,S. Aldama
42,Furkan Aldemir,Furkan,Aldemir,F. Aldemir
43,Cole Aldrich,Cole,Aldrich,C. Aldrich
44,LaMarcus Aldridge,LaMarcus,Aldridge,L. Aldridge
45,Chuck Aleksinas,Chuck,Aleksinas,C. Aleksinas
46,Cliff Alexander,Cliff,Alexander,C. Alexander
47,Cory Alexander,Cory,Alexander,C. Alexander
48,Courtney Alexander,Courtney,Alexander,C. Alexander
49,Gary Alexander,Gary,Alexander,G. Alexander
50,Joe Alexander,Joe,Alexander,J. Alexander
51,Kyle Alexander,Kyle,Alexander,K. Alexander
52,Ty-Shon Alexander,Ty-Shon,Alexander,T. Alexander
53,Victor Alexander,Victor,Alexander,V. Alexander
54,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,N. Alexander-Walker
55,Steve Alford,Steve,Alford,S. Alford
56,Rawle Alkins,Rawle,Alkins,R. Alkins
57,Bob Allen,Bob,Allen,B. Allen
58,Grayson Allen,Grayson,Allen,G. Allen
59,Jarrett Allen,Jarrett,Allen,J. Allen
60,Jerome Allen,Jerome,Allen,J. Allen
61,Kadeem Allen,Kadeem,Allen,K. Allen
62,Lavoy Allen,Lavoy,Allen,L. Allen
63,Lucius Allen,Lucius,Allen,L. Allen
64,Malik Allen,Malik,Allen,M. Allen
65,Randy Allen,Randy,Allen,R. Allen
66,Ray Allen,Ray,Allen,R. Allen
67,Tony Allen,Tony,Allen,T. Allen
68,Odis Allison,Odis,Allison,O. Allison
69,Lance Allred,Lance,Allred,L. Allred
70,Darrell Allums,Darrell,Allums,D. Allums
71,Morris Almond,Morris,Almond,M. Almond
72,Derrick Alston,Derrick,Alston,D. Alston
73,Rafer Alston,Rafer,Alston,R. Alston
74,Peter Aluma,Peter,Aluma,P. Aluma
75,Jose Alvarado,Jose,Alvarado,J. Alvarado
76,John Amaechi,John,Amaechi,J. Amaechi
77,Ashraf Amaya,Ashraf,Amaya,A. Amaya
78,Al-Farouq Aminu,Al-Farouq,Aminu,A. Aminu
79,Lou Amundson,Lou,Amundson,L. Amundson
80,Bob Anderegg,Bob,Anderegg,B. Anderegg
81,Chris Andersen,Chris,Andersen,C. Andersen
82,David Andersen,David,Andersen,D. Andersen
83,Alan Anderson,Alan,Anderson,A. Anderson
84,Antonio Anderson,Antonio,Anderson,A. Anderson
85,Cliff Anderson,Cliff,Anderson,C. Anderson
86,Daniel Anderson,Daniel,Anderson,D. Anderson
87,Derek Anderson,Derek,Anderson,D. Anderson
88,Dwight Anderson,Dwight,Anderson,D. Anderson
89,Eric Anderson,Eric,Anderson,E. Anderson
90,Greg Anderson,Greg,Anderson,G. Anderson
91,James Anderson,James,Anderson,J. Anderson
92,Jerome Anderson,Jerome,Anderson,J. Anderson
93,Justin Anderson,Justin,Anderson,J. Anderson
94,Kenny Anderson,Kenny,Anderson,K. Anderson
95,Kim Anderson,Kim,Anderson,K. Anderson
96,Kyle Anderson,Kyle,Anderson,K. Anderson
97,Michael Anderson,Michael,Anderson,M. Anderson
98,Mitchell Anderson,Mitchell,Anderson,M. Anderson
99,Nick Anderson,Nick,Anderson,N. Anderson
100,Richard Anderson,Richard,Anderson,R. Anderson
101,Ron Anderson,Ron,Anderson,R. Anderson
102,Ryan Anderson,Ryan,Anderson,R. Anderson
103,Shandon Anderson,Shandon,Anderson,S. Anderson
104,Willie Anderson,Willie,Anderson,W. Anderson
105,Wally Anderzunas,Wally,Anderzunas,W. Anderzunas
106,Martynas Andriuskevicius,Martynas,Andriuskevicius,M. Andriuskevicius
107,Don Anielak,Don,Anielak,D. Anielak
108,Ike Anigbogu,Ike,Anigbogu,I. Anigbogu
109,Michael Ansley,Michael,Ansley,M. Ansley
110,Chris Anstey,Chris,Anstey,C. Anstey
111,Giannis Antetokounmpo,Giannis,Antetokounmpo,G. Antetokounmpo
112,Kostas Antetokounmpo,Kostas,Antetokounmpo,K. Antetokounmpo
113,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,T. Antetokounmpo
114,Carmelo Anthony,Carmelo,Anthony,C. Anthony
115,Cole Anthony,Cole,Anthony,C. Anthony
116,Greg Anthony,Greg,Anthony,G. Anthony
